Title,Director,Category,Year ,Rating,Roger Ebert
Cold War,Pawel Pawlikowski,Drama,2018,3,4
Trance,Danny Boyle,Suspense,2013,3,3
Killer Joe,William Friedkin,Crime,2012,3,3
Never Let Me Go,Mark Romanek,Romance,2010,3,4
Lord of War,Andrew Niccol,Drama,2005,3,3.5
Shooting Dogs,Michael Caton-Jones,War,2005,3,
The Machinist,Brad Anderson,Psychological,2004,3,3
28 Days Later ,Danny Boyle,Horror,2003,3,3
Equilibrium,Kurt Wimmer,Action,2002,3,3
Office Space,Mike Judge,Comedy ,1999,3,4
Funny Games,Michael Haneke,Psychological,1997,3,0.5
12 Monkeys,Terry Gilliam,Psychological,1995,3,3
Spartacus,Stanley Kubric,Drama,1991,3,3
On the Silver Globe,Andrzej Żuławski,Adventure,1988,3,4
Ferris Bueller's Day Off,John Hughes,Adventure,1986,3,3
The Big Red One,Samuel Fuller,War,1980,3,4
Help,Richard Lester ,Musical,1965,3,
The Souvenir ,Joanna Hogg,Drama,2019,3.5,4
Eye in the Sky,Gavin Hood,War,2016,3.5,3
It Follows,David Robert Mitchell,Horror,2015,3.5,3.5
Birdman,Alejandro González Iñárritu,Psychological,2014,3.5,4
The Grand Budapest Hotel,Wes Anderson,Comedy ,2014,3.5,4
Under the Skin,Jonathan Glazer,Psychological,2014,3.5,4
Enemy ,Denis Villeneuve,Psychological,2013,3.5,2.5
Dredd,Pete Travis,Action,2012,3.5,
A Beautiful Day in the Neighborhood ,Marielle Heller,Drama,2019,3.5,3.5
The Tree of Life,Terrence Malick,Comingofage,2011,3.5,4
A Single Man,Tom Ford,Drama,2009,3.5,3
Dear Zachary,Kurt Kuenne,Documetary ,2008,3.5,
The Wrestler,Darren Aronofsky ,Drama,2008,3.5,4
Crash,Paul Haggis,Drama,2005,3.5,4
Jarhead,Sam Mendes,War,2005,3.5,3.5
Black Hawk Down,Ridley Scott,War,2002,3.5,4
Muholland Drive,David Lynch,Psychological,2001,3.5,4
Cast Away,Robert Zemeckis,Adventure,2000,3.5,3
Rushmore,Wes Anderson,Comedy ,1999,3.5,2.5
The Big Lebowski,Joel Coen,Comedy ,1998,3.5,4
The Fifth Element,Luc Besson,Adventure,1997,3.5,3
Fargo,Joel Coen,Crime,1996,3.5,4
Trainspotting,Danny Boyle,Drama,1996,3.5,3
Jacobs Ladder,Adrian Lyne,Psychological,1990,3.5,3.5
When the Wind Blows,Jimmy Murakami,Drama,1988,3.5,
Brazil,Terry Gilliam,Drama,1986,3.5,2
Platoon,Oliver Stone,War,1986,3.5,4
Scarface,Brian DePalma,Crime,1983,3.5,4
Pink Floyd The Wall,Alan Parker,Musical,1982,3.5,4
Catch-22,Mike Nicholas,Comedy ,1970,3.5,3
The Yellow Submarine,George Martin,Musical,1968,3.5,4
Cool Hand Luke,Stuart Rosenberg,Drama,1967,3.5,4
For a Few Dollars More,Alberto Grimaldi,Action,1967,3.5,3
Zulu,Cy Endfield,War,1964,3.5,
Lolita,Stanley Kubric,Drama,1962,3.5,
The Longest Day,Kent Annakin,War,1962,3.5,
Psycho,Alfred Hitchcock ,Suspense,1960,3.5,4
Vertigo,Alfred Hitchcock ,Drama,1958,3.5,4
The Bridge on the River Kwai,David Lean,War,1957,3.5,4
Rebecca,Alfred Hitchcock ,Suspense,1940,3.5,
Jojo Rabbit,Taika Waititi,Comedy ,2019,4,2.5
Midsommar Directors Cut,Ari Aster,Horror,2019,4,4
Once Apon a Time in Hollywood,Quentin Tarentino,Drama,2019,4,4
The Last Black Man in San Francisco ,Joe Talbot,Drama,2019,4,4
High Life,Claire Denis,Psychological,2018,4,4
